ID,Created,"UK or India
","Agent Tenure
","Interaction Date
","Interaction duration
","Interaction Type
","Interaction Reason
","DF Arrears (Months):
","Were there any vulnerability markers on the customers account?
","Q1-Did the advisor process Personal Data in accordance with the Data protection Act?
","Q1 - Failure Reasons
","Q2 - Did the advisor confirm the customer's or authorised 3rd party's contact telephone number, email, and up to date home address and update date the system accordingly if required? 
","Q2 - Failure Reasons
","Q3 - Did the advisor understand the customer's past financial situation including the reason they have failed or may fail to pay Three?
","Q3 - Failure Reasons
","Q4 -  Did the advisor understand the customer's present financial situation?
","Q4 - Failure Reasons
","Q5 - Did the advisor understand the customer's future financial situation?
","Q5 - Failure Reasons
","Q6 - Did the advisor correctly identify & explore new vulnerability needs?
","Q6 - Failure Reasons
","Q7 - Did the advisor correctly acknowledge & explore existing vulnerability needs?
","Q7 - Failure Reasons
","Q8 - Where applicable did the advisor address any new accessibility needs during their interaction?
","Q8 - Failure Reasons
","Q9 - Where applicable did the advisor address any existing accessibility needs during their interaction?
","Q9 - Failure Reasons
","Q10 - Did the advisor gain full explicit consent to note the customer's new vulnerability and/or accessibility need?
","Q10 - Failure Reasons
","Q11 - Did the advisor update the system to accurately reflect the customer's vulnerability and/or accessibility needs?
","Q11 - Failure Reasons
","Q12 - Did the advisor establish a suitable solution that supported the customer's needs taking into account their information from the conversation ?
","Q12 - Failure Reasons
","Q13 - Did the advisor read any mandatory statements/tell them in a manner that was easy for the customer to understand? 
","Q13 - Failure Reasons
","Q14 - Did we clearly advise the customer of any next steps required by them and did they explain potential consequeses for adherance/non adherance to any outcome?
","Q14 - Failure Reasons
","Q15 - Was the Income and Expenditure Tool completed correctly?
","Q15 - Failure Reasons
","Q16 - Has the advisor taken the correct system action
","Q16 - Failure Reasons
","Q17 - System updates - When payment has been taken on call/chat
","Q17 - Failure Reasons
","Q18 - Did the advisor leave adequate notes regarding the interaction?
","Q18 - Failure Reasons
","Q19-If an expression of dissatisfaction was evident, was it addressed by the agent , and correct process followed
","Q19 - Failure Reasons
","Q20-Was any new suspicious activity evident during the call/ interactions you’re scoring (i.e. not instances already identified/ flagged that pre-date the call/ interactions you’re scoring)? (non-scoring)
","Q20.1-If yes: did the advisor correctly identify the activity as suspicious?
","Q21-If applicable, did the advisor then follow the relevant process correctly and avoid “tipping off” the customer?
","Q22 - During the interaction did the advisor act within our expected conduct realms:
","Q22 - Failure Reasons
","1st Line QA Outcome
","Q23-CD Focus: Did the advisor and/or Three deal with the customer in an honest, fair, and open manner and by acting how our customers would reasonably expect us to?
","Q23-Fail Reasons
","Q24-CD Focus: Did the advisor and/or Three take all reasonable steps to prevent foreseeable or actual customer harm?
","Q24 - Failure Reasons
","Q25-CD Focus: Did the advisor and/or Three provide adequate levels of support, enabling customers to make timely and informed decisions in their best interests?
","Q25 - Failure Reasons
","Is remediation Required?
"
259,2025-01-07T11:54:44Z,India,Over 3 (BAU),2025-01-07,13:10,Inbound,"[""Customer wants to set a PTP""]","[""December""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,N/A,,N/A,,N/A,,,,N/A,,N/A,,Pass,,Fail - Regulatory/Customer Impacting,"[""DD options""]",,,Pass,,N/A,,Pass,,N/A,,N/A,,,N/A,,Unclear Outcome,,,,,,,No
260,2025-01-07T12:08:29Z,India,Gradbay,2025-01-06,30:32,Inbound,"[""Customer is calling to make a payment""]","[""January""]",,Pass,,Fail - Regulatory/Customer Impacting,"[""Did not confirm Telephone number"",""Did not confirm Email address""]",Fail - Regulatory/Customer Impacting,"[""Short Term not established""]",Pass,,Pass,,,,N/A,,N/A,,N/A,,,,N/A,,Fail - Regulatory/Customer Impacting,"[""Process not followed""]",N/A,,Fail - Regulatory/Customer Impacting,"[""General - Next steps not confirmed""]",,,N/A,,Pass,,Fail - Regulatory/Customer Impacting,"[""Notes Inacurate""]",N/A,,N/A,,,Fail - Regulatory/Customer Impacting,"[""other""]",Poor Outcome - Advisor,,,,,,,No
261,2025-01-07T15:38:16Z,India,Gradbay,2025-01-06,47.51,Inbound,"[""Customer wants to set a PTP""]","[""December""]",,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""The root cause not fully established""]",Fail - Regulatory/Customer Impacting,"[""Advisor failed to attempt to obtain - Where financial difficulty was established/evident was Income and Expenditure process followed"",""Advisor failed to attempt to obtain - whether this is short term""]",Pass,,,,Pass,,N/A,,Fail - Regulatory/Customer Impacting,"[""Did not provide mandatory tell information""]",,,Pass,,Fail - Regulatory/Customer Impacting,"[""PA - Advisor failed to offer an appropriate PA""]",Pass,,Pass,,,,Pass,,N/A,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
262,2025-01-07T17:32:09Z,India,Gradbay,2025-01-07,36:09,Inbound,"[""Customer is calling to make a payment""]","[""December""]",,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""No discussion about continuous impact""]",Fail - Regulatory/Customer Impacting,"[""Advisor failed to attempt to obtain - whether this is short term""]",Pass,,,,N/A,,N/A,,N/A,,,,N/A,,Fail - Regulatory/Customer Impacting,"[""Wrong soultion provided""]",N/A,,Fail - Regulatory/Customer Impacting,"[""DD options""]",,,N/A,,N/A,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
263,2025-01-08T09:14:00Z,India,Over 3 (BAU),2025-01-06,10:34,Inbound,"[""Customer is calling to make a payment""]","[""May"",""August"",""September"",""October""]",,Pass,,Fail - Regulatory/Customer Impacting,"[""Did not confirm Telephone number"",""Did not confirm Email address""]",Pass,,Pass,,Pass,,,,N/A,,N/A,,N/A,,,,N/A,,N/A,,N/A,,N/A,,,,Pass,,Pass,,Pass,,N/A,,N/A,,,N/A,,Good Outcome with Failures,,,,,,,No
264,2025-01-08T13:52:44Z,India,Nesting,2025-01-07,4h 33m,Webchat,"[""Customer wants to set a PTP""]","[""December""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,Pass,,Fail - Regulatory/Customer Impacting,"[""Flash alert not applied""]",Pass,,,,Fail - Regulatory/Customer Impacting,"[""Recording irrelevant information on the account""]",Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""General - Next steps not confirmed""]",,,Pass,,N/A,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,Yes
265,2025-01-09T09:34:32Z,India,Gradbay,2025-01-07,44:52,Inbound,"[""Customer is calling to make a payment""]","[""December"",""November"",""October"",""September"",""August"",""July""]",,Fail - Regulatory/Customer Impacting,"[""Outbound Scripting not confirmed""]",Pass,,Fail - Regulatory/Customer Impacting,"[""No discussion about continuous impact""]",Fail - Regulatory/Customer Impacting,"[""Advisor failed to attempt to obtain - whether this is short term"",""Advisor failed to attempt to obtain - Customer Priority bills status""]",Fail - Regulatory/Customer Impacting,"[""Short Term not established""]",,,Fail - Regulatory/Customer Impacting,"[""No support provided""]",Fail - Regulatory/Customer Impacting,"[""Incorrect support provided""]",Pass,,,,Fail - Regulatory/Customer Impacting,"[""Incorrect system amends made""]",Fail - Regulatory/Customer Impacting,"[""I&E - Advisor did not ask qualifying questions"",""Wrong soultion provided"",""Process not followed""]",Pass,,Pass,,,,Pass,,N/A,,Fail - Regulatory/Customer Impacting,"[""Notes Inacurate""]",N/A,,Feedback/Coaching Needed,,,Pass,,Poor Outcome - Advisor,,,,,,,No
266,2025-01-09T10:06:51Z,India,Gradbay,2025-01-08,33:52,Inbound,"[""Customer is calling to make a payment""]","[""December""]",,Pass,,Pass,,N/A,,N/A,,Pass,,,,Pass,,N/A,,N/A,,,,N/A,,Pass,,N/A,,Pass,,,,N/A,,Pass,,Pass,,N/A,,N/A,,,Pass,,Good Outcome,,,,,,,No
267,2025-01-09T15:23:23Z,India,Gradbay,2025-01-08,52.58,Inbound,"[""Customer is calling to make a payment"",""Customer wants to set a PTP""]","[""December"",""November"",""October""]",,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""No discussion about continuous impact""]",Fail - Regulatory/Customer Impacting,"[""Advisor failed to attempt to obtain - Customer Priority bills status"",""Advisor failed to attempt to obtain - whether this is short term""]",Pass,,,,N/A,,N/A,,N/A,,,,N/A,,Fail - Regulatory/Customer Impacting,"[""PA - Advisor failed to offer an appropriate PA"",""Wrong soultion provided""]",Pass,,Pass,,,,Pass,,Fail - Regulatory/Customer Impacting,"[""Did not confirm credit/debit card""]",Pass,,Fail - Regulatory/Customer Impacting,"[""Escalation not identified""]",N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
268,2025-01-09T16:26:26Z,India,Gradbay,2025-01-08,30:36,Inbound,"[""Customer wants to set a PTP""]","[""N/A""]",,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""No discussion about continuous impact"",""Short Term not established""]",Fail - Regulatory/Customer Impacting,"[""Advisor failed to attempt to obtain - Customer Priority bills status""]",Fail - Regulatory/Customer Impacting,"[""The proposed solution is not affordable""]",,,Fail - Regulatory/Customer Impacting,"[""T - Thank"",""No support provided""]",N/A,,Fail - Regulatory/Customer Impacting,"[""Did not provide mandatory tell information"",""Consent to record SC data not captured - Vulnerability""]",,,Pass,,Fail - Regulatory/Customer Impacting,"[""Solution offered did not include all suitable instalment options"",""Solution offered did not include understanding of the customers needs from conversation"",""Wrong soultion provided""]",Pass,,Pass,,,,Fail - Regulatory/Customer Impacting,"[""Process not followed"",""System action not completed in full""]",N/A,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
269,2025-01-10T12:24:08Z,India,Nesting,2025-01-09,43 min 29sec ,Outbound,"[""Customer wants to set a PTP""]","[""October"",""December"",""November"",""January""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,N/A,,N/A,,N/A,,,,N/A,,Pass,,Pass,,Pass,,,,Pass,,N/A,,Pass,,N/A,,N/A,,,Pass,,Good Outcome with Failures,,,,,,,No
270,2025-01-10T16:16:10Z,India,LCA,2025-01-07,00:35:35,Inbound,"[""Customer wants to set a PTP""]","[""November""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,N/A,,N/A,,N/A,,,,N/A,,Pass,,Feedback/Coaching Needed,"[""Information unclear - Pace, Clarity, interuptions etc""]",Pass,,,,Pass,,N/A,,Pass,,N/A,,N/A,,,Pass,,Good Outcome with Failures,,,,,,,No
271,2025-01-10T16:25:35Z,India,LCA,2025-01-07,00:33:32,Inbound,"[""Customer wants to set a PTP""]","[""October"",""November"",""December""]",,Pass,,Pass,,Pass,,Pass,,Feedback/Coaching Needed,"[""The proposed solution is not affordable""]",,,N/A,,N/A,,N/A,,,,N/A,,Pass,,Pass,,Pass,,,,Feedback/Coaching Needed,"[""DD not updated""]",Pass,,Pass,,N/A,,N/A,,,Pass,,Good Outcome with Failures,,,,,,,No
272,2025-01-10T16:32:29Z,India,LCA,2025-01-02,"00:16:50
",Inbound,"[""Customer is calling to make a payment""]","[""December""]",,Pass,,Feedback/Coaching Needed,"[""Did not confirm Telephone number""]",Fail - Regulatory/Customer Impacting,"[""The root cause not fully established""]",Fail - Regulatory/Customer Impacting,"[""Advisor failed to attempt to obtain - Customer Priority bills status""]",Fail - Regulatory/Customer Impacting,"[""The proposed solution is not sustainable"",""The proposed solution is not affordable""]",,,N/A,,N/A,,N/A,,,,N/A,,Fail - Regulatory/Customer Impacting,"[""Solution offered did not include understanding of the customers needs from conversation""]",Fail - Regulatory/Customer Impacting,"[""Incomplete info advised""]",Pass,,,,Pass,,Fail - Regulatory/Customer Impacting,"[""did not gain consent for adding card to account""]",Fail - Regulatory/Customer Impacting,"[""Notes Inacurate""]",N/A,,N/A,,,Fail - Regulatory/Customer Impacting,"[""Incorrect information has been provided""]",Poor Outcome - Advisor,,,,,,,No
273,2025-01-10T16:36:55Z,India,LCA,2025-01-07,00:33:08,Inbound,"[""Customer wants to set a PTP""]","[""February"",""March"",""June"",""July"",""August"",""December""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,N/A,,N/A,,N/A,,,,N/A,,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""DD options""]",,,Pass,,N/A,,Fail - Regulatory/Customer Impacting,"[""Notes Inacurate"",""No Notes""]",N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
274,2025-01-10T16:39:37Z,India,LCA,2025-01-08,"01:17:15
",Webchat,"[""Customer wants to set a PTP""]","[""December""]",,Pass,,Pass,,Feedback/Coaching Needed,"[""No discussion about continuous impact""]",Pass,,Pass,,,,N/A,,N/A,,N/A,,,,N/A,,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""General - Next steps not confirmed""]",,,Pass,,N/A,,Feedback/Coaching Needed,"[""Notes Inacurate""]",N/A,,N/A,,,Fail - Regulatory/Customer Impacting,"[""other""]",Good Outcome with Failures,,,,,,,No
275,2025-01-10T16:44:45Z,India,LCA,2025-01-09,"00:26:04
",Inbound,"[""Customer wants to set a PTP""]","[""December""]",,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""The root cause not fully established""]",Pass,,Fail - Regulatory/Customer Impacting,"[""The proposed solution is not affordable""]",,,N/A,,N/A,,N/A,,,,N/A,,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""Non- payment concequesnces not discussed""]",,,Pass,,N/A,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
276,2025-01-10T21:00:00Z,India,Over 3 (BAU),2025-01-04,02:54:52,Webchat,"[""Customer wants to set a PTP"",""BAU - I&E ""]","[""July"",""August"",""September"",""October""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,Pass,,N/A,,Pass,,,,N/A,,N/A,,Pass,,Pass,,,,Feedback/Coaching Needed,"[""DD Not surpressed""]",N/A,,Pass,,N/A,,N/A,,,Pass,,Good Outcome with Failures,,,,,,,No
277,2025-01-11T10:18:31Z,India,Gradbay,2025-01-08,31:01,Inbound,"[""Customer wants a PA (up to 6 months instalments)""]","[""N/A""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,N/A,,N/A,,N/A,,,,N/A,,Fail - Regulatory/Customer Impacting,"[""Wrong soultion provided""]",Pass,,Fail - Regulatory/Customer Impacting,"[""DD options""]",,,Pass,,Pass,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
278,2025-01-11T10:38:53Z,India,Gradbay,2025-01-09,37:40,Inbound,"[""Customer wants a PA (up to 6 months instalments)""]","[""N/A""]",,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""The root cause not fully established""]",Pass,,Pass,,,,Pass,,N/A,,Pass,,,,Pass,,Pass,,Pass,,Pass,,,,Pass,,N/A,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
279,2025-01-11T14:07:31Z,India,Gradbay,2025-01-10,30.50,Inbound,"[""Customer wants a PA (up to 6 months instalments)"",""Customer wants to set a PTP""]","[""July"",""September"",""October""]",,Pass,,Pass,,Pass,,N/A,,Pass,,,,N/A,,N/A,,N/A,,,,N/A,,Pass,,Pass,,Pass,,,,Fail - Regulatory/Customer Impacting,"[""Process not followed""]",N/A,,Pass,,N/A,,N/A,,,Fail - Regulatory/Customer Impacting,"[""Incorrect information has been provided""]",Good Outcome with Failures,,,,,,,No
280,2025-01-11T16:36:39Z,India,Gradbay,2025-01-11,01:08:26,Inbound,"[""Customer wants to set a PTP""]","[""June"",""July"",""August"",""September"",""October"",""November""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,Pass,,Pass,,N/A,,,,N/A,,Pass,,Pass,,Pass,,,,Pass,,N/A,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
281,2025-01-11T17:53:05Z,India,Gradbay,2025-01-10,33.56,Inbound,"[""Customer wants to set a PTP""]","[""January"",""February"",""May""]",,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""No discussion about continuous impact""]",Fail - Regulatory/Customer Impacting,"[""Advisor failed to attempt to obtain - whether this is medium  term"",""Advisor failed to attempt to obtain - whether this is short term""]",Fail - Regulatory/Customer Impacting,"[""The proposed solution is not sustainable""]",,,Pass,,N/A,,N/A,,,,N/A,,Fail - Regulatory/Customer Impacting,"[""Wrong soultion provided""]",Fail - Regulatory/Customer Impacting,"[""Mandatory info not read""]",Pass,,,,Pass,,N/A,,Pass,,Pass,,N/A,,,Fail - Regulatory/Customer Impacting,"[""Incorrect information has been provided""]",Poor Outcome - Advisor,,,,,,,No
282,2025-01-13T07:24:05Z,India,LCA,2025-01-07,00:28:15,Inbound,"[""Customer wants to set a PTP""]","[""November""]",,Pass,,Pass,,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""Potential impact was not established""]",,,N/A,,N/A,,N/A,,,,N/A,,Pass,,Fail - Regulatory/Customer Impacting,"[""Incomplete info advised""]",Pass,,,,Pass,,N/A,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
283,2025-01-13T07:31:27Z,India,LCA,2025-01-07,"00:21:50 
",Inbound,"[""Customer wants to set a PTP""]","[""July"",""December""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,N/A,,N/A,,N/A,,,,N/A,,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""DD options""]",,,Pass,,N/A,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,Yes
284,2025-01-13T07:39:03Z,India,LCA,2025-01-06,"00:20:26 
",Inbound,"[""Customer wants to set a PTP""]","[""January"",""December""]",,Pass,,Pass,,Pass,,Pass,,Pass,,,,Pass,,N/A,,Pass,,,,Pass,,Pass,,Pass,,Pass,,,,Pass,,N/A,,Pass,,N/A,,N/A,,,Pass,,Good Outcome,,,,,,,No
285,2025-01-13T07:47:07Z,India,LCA,2025-01-08,"00:25:08 
",Inbound,"[""Customer wants to set a PTP"",""Customer wants a PA (up to 6 months instalments)""]","[""September"",""October"",""December""]",,Pass,,Pass,,Fail - Regulatory/Customer Impacting,"[""The root cause not fully established""]",Fail - Regulatory/Customer Impacting,"[""Advisor failed to attempt to obtain - Source/Frequency of income"",""Advisor failed to attempt to obtain - Where financial difficulty was established/evident was Income and Expenditure process followed""]",Pass,,,,Fail - Regulatory/Customer Impacting,"[""Vulnerability not identified""]",N/A,,N/A,,,,N/A,,Fail - Regulatory/Customer Impacting,"[""I&E - Advisor failed to offer where appropriate I&E""]",Pass,,Feedback/Coaching Needed,"[""DD options""]",,,Pass,,N/A,,Pass,,N/A,,N/A,,,Pass,,Poor Outcome - Advisor,,,,,,,No
286,2025-01-13T07:54:25Z,India,LCA,2025-01-08,"00:22:37 
",Inbound,"[""Customer wants to set a PTP""]","[""December""]",,Pass,,Pass,,Pass,,Pass,,Feedback/Coaching Needed,"[""The proposed solution is not affordable""]",,,Pass,,N/A,,Pass,,,,Pass,,Pass,,Pass,,Pass,,,,Pass,,N/A,,Feedback/Coaching Needed,"[""Notes Incomplete""]",N/A,,N/A,,,Pass,,Good Outcome with Failures,,,,,,,No
